Practice_ID,Quarter,Year,Visit_Volume,Avg_Wait_Time_Min,Patient_Satisfaction_Score,No_Show_Rate,Followup_Adherence_Rate,Staff_to_Patient_Ratio,Provider_Productivity,A1C_Screening_Compliance,Total_Providers_FTE,Total_Staff_FTE,Unique_Patients_Seen
AP012,Q1,2022,873,25.4,90.8,79,72,0.035,350.7,24.1,2.9,49.8,1904
AP012,Q2,2021,896,17.7,24.6,72,91,0.012,211.2,71.5,2.0,28.5,464
AP011,Q3,2021,4822,32.1,84.0,74,79,0.037,869.8,15.9,3.3,34.0,801
AP006,Q2,2021,2740,42.9,12.6,76,96,0.009,259.7,45.8,1.2,46.6,1001
AP003,Q1,2024,2978,28.6,8.7,76,84,0.034,459.5,68.6,4.2,17.0,1045
AP012,Q3,2023,3526,53.8,31.1,55,94,0.057,1780.9,23.4,5.1,24.7,1573
AP008,Q3,2024,3049,14.7,93.4,83,76,0.035,323.8,72.3,3.4,15.9,1516
AP005,Q1,2021,730,44.2,69.5,58,81,0.026,1856.7,82.4,1.6,24.6,1743
AP005,Q4,2024,1711,36.7,37.1,83,79,0.04,2038.0,29.2,1.0,48.7,716
AP002,Q2,2020,3151,20.1,62.8,64,83,0.012,2080.0,96.4,3.4,49.9,435
AP005,Q4,2021,3178,46.5,49.9,70,75,0.04,355.3,64.3,1.6,47.7,1504
AP005,Q3,2021,2104,6.2,46.0,55,77,0.031,541.5,31.4,5.4,31.2,448
AP010,Q3,2022,4135,41.0,82.9,84,95,0.015,639.5,77.9,2.0,34.4,702
AP012,Q2,2022,2886,44.0,20.5,84,65,0.005,2904.1,1.8,3.8,27.8,529
AP008,Q2,2023,658,50.6,33.4,65,91,0.033,939.0,12.8,5.5,16.0,1063
AP002,Q4,2023,1754,0.2,57.0,71,71,0.052,682.8,42.5,3.6,41.5,1400
AP001,Q4,2020,4477,30.2,17.4,89,55,0.025,102.2,87.6,3.2,36.0,1316
AP001,Q3,2020,788,14.6,67.8,91,78,0.037,419.3,99.5,4.9,39.4,1027
AP002,Q2,2021,4510,7.9,35.4,58,67,0.023,1589.7,45.3,1.2,23.0,710
AP007,Q3,2021,2160,51.2,97.9,89,92,0.017,701.9,65.0,4.2,31.5,1668
AP006,Q4,2022,4712,26.3,54.0,82,90,0.032,974.5,8.3,1.2,12.5,1626
AP008,Q2,2024,3341,3.9,29.3,70,71,0.018,492.6,94.3,5.3,42.3,1862
AP005,Q3,2020,3297,38.4,61.7,82,84,0.013,667.9,96.9,3.6,23.0,1310
AP011,Q1,2023,3838,46.8,96.7,50,88,0.018,1407.6,47.7,3.8,14.7,1579
AP008,Q4,2022,938,22.8,33.0,73,61,0.024,887.0,60.7,1.7,25.7,1321
AP012,Q1,2024,825,36.2,28.3,91,78,0.027,402.7,86.9,3.2,45.3,1077
AP003,Q3,2023,1373,14.3,90.2,58,59,0.03,248.9,60.2,3.3,39.9,1725
AP006,Q4,2024,4996,38.4,68.7,73,84,0.016,1329.4,93.3,3.3,24.4,1298
AP012,Q3,2023,3050,54.9,91.9,93,57,0.009,444.0,52.6,2.4,34.3,1753
AP011,Q2,2022,586,43.5,67.9,55,74,0.048,1246.0,11.6,3.4,49.6,1348
AP007,Q4,2021,2675,21.6,34.2,73,72,0.04,440.9,74.1,2.0,29.8,1154
AP012,Q2,2024,1722,20.4,60.4,77,70,0.032,1595.9,1.0,4.7,17.3,833
AP005,Q1,2020,1174,51.6,48.8,72,73,0.021,903.5,61.2,2.1,27.7,1068
AP006,Q2,2021,1854,6.4,66.4,53,90,0.022,809.4,78.0,1.9,35.9,736
AP007,Q1,2021,2501,43.9,22.1,61,64,0.025,813.2,93.5,3.2,14.5,1701
AP006,Q1,2021,2022,20.9,48.4,62,76,0.017,507.8,3.9,1.5,22.4,1623
AP005,Q2,2024,1539,54.0,5.6,75,48,0.042,317.2,58.9,5.4,44.7,1805
AP004,Q4,2022,3465,4.8,86.3,59,79,0.026,668.2,9.1,5.6,43.7,610
AP008,Q4,2022,1034,34.3,35.9,59,69,0.019,337.8,59.3,3.2,25.0,1949
AP012,Q4,2022,4859,10.3,5.8,90,84,0.043,542.3,41.3,3.0,38.3,1966
AP011,Q4,2022,850,9.3,27.9,78,74,0.011,2872.7,33.2,2.5,32.0,1880
AP010,Q4,2020,3500,14.0,22.2,36,73,0.019,953.6,58.8,5.1,10.1,727
AP012,Q4,2022,1020,0.8,9.9,68,70,0.008,2265.5,16.9,3.2,38.5,561
AP004,Q4,2024,2485,19.0,12.9,63,76,0.025,312.5,92.9,3.3,32.2,727
AP001,Q3,2020,4956,13.8,41.3,87,53,0.01,476.7,42.9,5.9,39.9,1899
AP007,Q1,2024,652,59.0,86.4,79,37,0.017,1349.1,78.2,2.3,36.2,1506
AP006,Q1,2020,1693,17.4,99.8,89,97,0.012,1264.3,33.9,1.5,36.0,1021
AP007,Q4,2020,2839,49.2,91.5,86,75,0.031,194.4,33.1,4.4,41.9,1747
AP004,Q1,2020,4380,10.5,40.0,56,51,0.026,431.0,64.2,3.4,33.6,461
AP007,Q2,2023,1981,41.6,10.9,84,95,0.037,301.4,17.8,5.7,25.8,1775
AP012,Q3,2024,2477,17.6,60.6,61,62,0.022,878.8,93.7,4.0,12.1,633
AP010,Q3,2024,1500,31.2,63.1,69,78,0.09,553.1,55.4,2.1,20.9,517
AP003,Q2,2021,4216,59.8,31.6,52,87,0.03,251.3,6.8,3.2,45.9,1814
AP003,Q2,2023,4822,57.7,29.7,62,70,0.051,1303.8,34.7,1.6,49.3,1193
AP004,Q4,2021,1378,44.0,29.5,78,98,0.039,558.1,68.3,3.1,17.0,650
AP006,Q1,2020,1198,25.2,61.4,74,85,0.036,121.9,83.3,3.1,37.4,1425
AP010,Q2,2024,3156,43.7,5.0,43,62,0.022,2454.3,33.3,4.4,36.5,1013
AP010,Q3,2024,3714,11.8,65.2,68,42,0.066,678.7,51.8,2.1,16.0,477
AP011,Q3,2024,2012,38.3,61.3,84,66,0.038,224.0,77.6,5.0,44.3,564
AP006,Q4,2021,2887,49.7,47.8,81,95,0.029,2221.7,44.8,2.8,15.5,532
AP010,Q2,2023,2337,41.4,26.9,84,74,0.009,963.4,71.3,3.9,44.9,534
AP006,Q3,2024,3676,53.3,82.7,92,77,0.031,671.5,24.9,5.9,44.9,1990
AP002,Q4,2022,2201,38.2,38.6,68,74,0.022,424.1,34.6,1.7,42.5,1590
AP002,Q3,2023,1150,18.6,48.2,64,81,0.109,750.5,3.9,5.0,29.7,360
AP006,Q1,2020,4036,31.7,52.5,85,65,0.068,529.8,15.1,4.7,40.7,554
AP009,Q3,2023,2819,33.7,12.1,79,38,0.091,2198.8,63.5,4.8,18.4,552
AP003,Q1,2023,1184,18.6,85.9,84,85,0.08,242.1,69.4,1.0,14.9,459
AP002,Q4,2022,721,21.8,11.2,49,70,0.029,678.2,1.3,5.9,28.3,1762
AP006,Q2,2024,4677,7.3,77.2,60,85,0.081,153.4,75.1,5.0,45.0,1413
AP001,Q2,2020,4629,58.3,68.3,69,63,0.026,1206.6,70.9,1.7,28.7,540
AP006,Q2,2021,4505,12.8,57.2,84,89,0.012,3306.9,71.2,5.2,36.3,1534
AP003,Q4,2022,3866,3.5,12.5,73,62,0.019,1140.3,38.8,3.8,30.9,1073
AP006,Q2,2021,4025,58.3,74.5,85,85,0.048,813.3,92.1,5.6,26.7,1475
AP008,Q1,2020,822,34.3,5.7,69,89,0.006,1384.0,75.3,4.9,45.2,1863
AP005,Q1,2024,2797,53.6,78.5,80,71,0.025,683.0,85.4,1.6,48.1,1962
AP006,Q4,2021,2906,42.3,68.7,84,64,0.024,1650.0,29.7,2.5,42.6,373
AP008,Q4,2021,3096,24.5,18.5,87,66,0.021,2163.9,61.6,1.8,46.5,1996
AP009,Q3,2022,2404,1.8,87.9,81,87,0.014,508.1,89.0,2.2,25.2,1670
AP002,Q3,2023,3556,46.6,13.9,59,84,0.014,639.4,26.3,3.0,39.7,575
AP004,Q3,2020,845,24.1,77.8,72,55,0.049,384.1,63.6,2.4,18.2,408
AP002,Q2,2022,4162,54.5,26.6,87,80,0.009,1343.3,11.4,3.8,14.5,1147
AP011,Q3,2021,4654,22.2,29.8,75,73,0.033,889.4,63.6,2.9,45.2,750
AP003,Q3,2020,3626,26.3,10.9,70,68,0.035,959.0,38.6,1.1,41.9,1308
AP004,Q1,2022,2028,16.2,60.1,84,52,0.014,785.4,55.7,4.7,44.2,335
AP008,Q4,2022,1237,14.4,28.0,67,86,0.018,587.1,1.5,3.0,35.2,1936
AP003,Q2,2021,4032,46.3,10.6,77,57,0.02,635.5,94.1,1.6,45.6,1156
AP006,Q2,2023,526,23.9,70.3,88,65,0.074,2168.6,90.6,1.7,40.1,1004
AP006,Q4,2022,4527,10.5,24.9,58,58,0.027,749.0,17.7,3.8,41.2,1016
AP011,Q1,2020,1604,41.8,76.9,69,97,0.01,674.8,19.8,4.0,47.7,905
AP001,Q3,2023,4511,46.7,7.0,71,72,0.01,214.3,79.0,2.9,13.5,417
AP006,Q3,2024,2108,25.4,94.3,92,90,0.044,496.5,94.2,5.1,23.9,1517
AP006,Q4,2020,2201,49.0,7.4,55,73,0.029,1063.4,90.5,5.2,29.6,1653
AP006,Q1,2021,2649,8.4,41.5,85,67,0.029,3856.7,29.3,2.9,12.2,1346
AP009,Q2,2022,3671,3.8,10.7,50,81,0.024,1305.3,2.6,3.9,15.2,1128
AP008,Q4,2020,4433,42.6,0.6,96,58,0.036,500.5,95.0,2.3,26.1,772
AP011,Q1,2022,3947,32.3,53.0,40,73,0.028,1049.8,67.4,4.6,40.9,703
AP010,Q2,2022,3790,15.2,56.6,84,72,0.052,1037.2,65.1,3.7,11.1,1258
AP006,Q4,2023,1595,42.7,69.5,89,90,0.029,301.9,74.8,4.0,31.6,1892
AP008,Q4,2023,2010,14.2,67.6,69,47,0.031,517.4,46.1,5.2,16.4,1434
AP011,Q4,2022,3599,26.7,84.8,61,69,0.028,554.4,48.2,2.6,28.2,396
AP001,Q2,2022,2901,22.2,60.2,72,89,0.009,1209.5,27.9,5.7,43.0,1897
AP007,Q4,2022,1809,19.1,61.7,70,62,0.009,2045.8,20.0,2.4,46.7,1006
AP011,Q4,2020,4256,19.0,61.8,90,97,0.023,234.3,88.1,2.5,42.3,957
AP012,Q2,2023,1997,36.0,35.4,81,60,0.026,406.2,19.0,3.8,46.1,382
AP002,Q1,2023,2319,47.8,49.5,76,47,0.027,192.4,52.2,1.1,38.3,737
AP012,Q4,2022,4766,6.3,95.0,70,81,0.049,1622.8,15.7,5.1,17.4,1229
AP004,Q4,2024,2119,5.9,77.6,59,78,0.038,733.8,48.6,4.8,27.7,1501
AP003,Q4,2023,3284,39.6,68.6,91,79,0.01,168.8,53.2,5.7,48.5,1956
AP002,Q1,2020,2857,11.3,73.4,58,98,0.024,784.4,56.1,5.9,13.9,1544
AP006,Q4,2020,982,41.0,9.0,86,94,0.043,1163.0,42.0,2.7,29.2,583
AP008,Q2,2021,657,38.2,98.4,98,94,0.017,307.2,59.9,5.3,43.6,1157
AP006,Q2,2021,2180,45.6,35.7,60,81,0.021,3486.7,80.8,5.3,27.3,844
AP008,Q3,2023,939,21.0,22.4,95,79,0.027,1756.4,28.9,3.5,25.6,1608
AP011,Q4,2022,2947,30.4,43.2,71,52,0.016,439.8,27.5,2.0,12.6,1232
AP005,Q4,2024,3365,44.1,85.7,66,88,0.021,1125.5,90.1,4.4,47.6,1956
AP004,Q2,2022,2391,46.3,57.0,94,94,0.035,2028.9,22.8,1.1,15.2,1172
AP001,Q2,2022,2491,17.4,51.6,58,85,0.047,374.7,90.8,2.1,31.4,398
AP004,Q2,2020,4931,5.9,87.3,87,85,0.029,983.7,79.2,2.6,10.6,1595
AP009,Q3,2024,3662,11.9,60.5,95,75,0.011,1044.2,58.9,5.3,12.1,326
AP008,Q2,2022,3921,4.8,87.7,64,46,0.078,2312.0,73.1,4.3,39.3,1118
AP007,Q1,2023,1665,37.5,36.4,83,55,0.017,1803.1,52.4,5.8,16.9,1180
AP008,Q2,2022,1814,38.5,35.8,66,88,0.031,496.9,75.5,1.2,26.0,870
AP003,Q1,2021,1661,8.0,79.8,53,77,0.039,1771.2,71.8,1.5,38.3,1037
AP003,Q4,2020,4039,12.9,84.3,76,50,0.03,1201.4,92.5,5.0,38.9,1821
AP006,Q1,2024,3312,33.8,78.9,72,67,0.035,992.0,12.5,5.2,36.2,1375
AP008,Q1,2020,756,49.7,31.9,68,89,0.044,1093.8,94.3,4.3,37.5,1022
AP006,Q1,2023,4241,31.8,47.4,63,76,0.02,298.8,24.1,5.1,19.1,773
AP005,Q2,2024,1531,0.4,84.9,69,92,0.064,721.8,75.0,1.1,45.0,875
AP012,Q1,2023,2289,57.5,71.3,68,68,0.01,177.0,26.4,5.8,49.9,440
AP005,Q3,2021,3067,34.2,23.6,78,93,0.037,237.4,29.8,3.7,48.4,1775
AP008,Q3,2020,3256,54.6,36.4,53,82,0.008,1052.5,62.2,1.4,41.4,1328
AP010,Q2,2023,3154,41.6,74.4,98,50,0.047,1064.9,51.9,3.0,48.8,1935
AP006,Q1,2021,4871,33.3,61.6,78,75,0.022,510.0,89.4,4.9,32.2,1702
AP003,Q4,2023,1030,56.9,37.4,74,85,0.057,168.5,10.6,1.4,14.8,680
AP009,Q1,2024,4104,2.8,73.6,54,54,0.046,526.3,87.2,5.9,19.2,803
AP001,Q3,2022,3332,50.9,87.4,82,58,0.026,399.8,26.8,5.4,18.8,1747
AP005,Q4,2020,3342,17.1,98.1,57,71,0.062,2601.1,48.4,3.2,28.1,792
AP001,Q4,2020,2821,49.9,28.8,78,63,0.041,254.6,19.2,1.8,21.1,1324
AP002,Q4,2022,4537,36.2,54.6,82,74,0.027,1574.6,22.6,3.8,40.0,420
AP007,Q1,2021,3556,36.1,6.4,80,55,0.023,1109.4,10.4,2.1,39.6,743
AP007,Q1,2023,4971,40.5,49.5,66,93,0.026,1843.6,24.4,2.7,32.4,555
AP006,Q1,2022,648,37.6,40.1,52,59,0.007,1098.6,61.5,5.5,38.3,1343
AP010,Q2,2020,2891,9.8,7.2,67,62,0.028,1226.0,67.2,4.8,12.8,1504
AP010,Q1,2024,4110,42.5,5.6,76,95,0.018,1754.1,45.1,4.1,46.7,322
AP012,Q1,2024,3872,42.7,33.6,83,90,0.012,212.3,11.6,5.9,48.4,586
AP011,Q1,2022,808,1.6,17.1,98,55,0.036,914.2,52.7,1.2,37.8,1607
AP001,Q3,2022,3657,9.6,85.3,70,78,0.019,2301.2,15.6,4.4,41.8,687
AP005,Q3,2022,4340,18.8,17.1,69,51,0.018,340.8,39.5,1.6,23.7,548
AP010,Q2,2021,1150,17.8,71.0,66,76,0.008,743.2,76.0,2.6,45.5,837
AP005,Q4,2021,4485,36.0,16.5,49,74,0.031,209.0,44.1,5.2,12.2,525
AP006,Q4,2020,2229,18.2,49.4,73,72,0.014,241.8,84.6,1.4,33.2,651
AP002,Q4,2021,806,27.1,32.4,63,67,0.025,1321.3,68.1,1.7,27.5,872
AP008,Q4,2023,4677,20.6,96.4,88,75,0.028,579.7,37.8,1.3,31.1,1632
AP003,Q2,2021,1486,32.0,18.7,83,41,0.047,4654.0,70.7,3.2,44.2,518
AP007,Q1,2021,4133,58.2,41.6,54,74,0.009,794.8,2.3,3.8,25.3,1251
AP003,Q1,2020,4411,40.4,63.8,73,52,0.007,2021.3,62.9,2.4,32.4,1039
AP003,Q1,2024,4582,5.0,13.3,71,71,0.061,241.9,6.0,2.5,41.2,1733
AP011,Q4,2022,833,16.0,76.0,65,46,0.067,858.8,78.4,4.2,18.7,839
AP007,Q4,2020,3800,6.0,2.9,63,75,0.026,1263.3,87.7,3.4,44.7,566
AP011,Q4,2021,4010,23.7,51.9,88,68,0.019,122.3,71.8,3.7,37.7,783
AP002,Q3,2023,4155,22.7,69.5,85,65,0.108,1093.6,76.3,2.9,15.9,874
AP005,Q4,2024,1193,54.7,29.1,78,68,0.01,1861.8,40.7,4.8,16.7,1528
AP004,Q3,2021,4658,14.7,80.7,81,84,0.019,716.7,35.0,3.4,43.4,1634
AP007,Q2,2024,912,40.3,65.0,80,68,0.036,566.5,99.7,1.0,15.8,1199
AP006,Q1,2023,1414,34.3,95.1,73,95,0.01,450.0,31.1,1.1,11.1,470
AP008,Q4,2022,1864,22.3,38.4,78,61,0.035,155.0,83.6,5.9,42.7,340
AP003,Q2,2023,736,4.6,19.9,59,89,0.011,395.4,90.0,3.6,26.0,1492
AP002,Q1,2021,1335,40.7,32.5,73,62,0.059,774.3,28.8,1.8,32.9,1731
AP007,Q2,2024,3976,17.7,94.5,70,68,0.025,416.4,49.5,3.6,49.7,629
AP010,Q3,2022,1043,56.5,91.9,68,60,0.021,694.2,15.6,1.5,29.8,784
AP012,Q3,2024,3264,51.1,26.0,69,68,0.024,648.1,35.2,3.2,33.4,412
AP001,Q4,2022,549,28.9,81.3,81,78,0.027,1270.8,64.2,2.5,21.6,546
AP006,Q1,2020,4740,56.8,80.9,75,81,0.031,1243.8,44.1,3.5,28.7,785
AP009,Q3,2022,2649,11.7,8.5,67,86,0.013,671.6,21.3,2.7,29.0,433
AP005,Q3,2024,668,36.7,5.4,51,65,0.06,362.5,90.1,2.1,34.6,1040
AP008,Q1,2020,4922,45.6,77.5,59,55,0.011,1112.7,84.0,4.4,38.3,1542
AP001,Q3,2022,545,43.0,15.6,76,92,0.046,161.0,27.4,4.6,27.8,1592
AP004,Q3,2022,1890,48.9,38.9,69,57,0.032,626.7,0.2,4.7,14.4,625
AP012,Q1,2023,1676,4.7,79.5,64,85,0.013,956.5,71.8,1.9,37.9,1966
AP005,Q1,2024,3169,17.2,42.2,72,69,0.006,756.3,69.1,1.2,22.5,1663
AP011,Q4,2021,1639,47.6,16.2,69,82,0.017,1044.8,71.0,2.1,11.5,1184
AP007,Q2,2024,2400,57.6,94.9,62,81,0.042,452.9,98.3,4.0,21.1,1638
AP008,Q1,2022,2200,32.0,99.3,76,67,0.009,469.7,52.1,3.6,46.8,1024
AP009,Q4,2020,3471,12.4,92.7,72,95,0.052,1436.5,17.2,3.6,33.1,1659
AP011,Q2,2021,4191,47.6,20.3,83,54,0.013,809.3,46.8,3.1,19.0,1469
AP002,Q3,2023,4957,22.6,93.9,89,70,0.023,1022.4,4.1,2.2,29.3,1361
AP002,Q1,2020,1800,48.9,83.5,82,76,0.022,363.5,65.6,1.9,24.6,456
AP004,Q4,2022,2015,51.0,34.2,65,94,0.012,1056.6,29.4,2.4,33.3,1240
AP005,Q1,2024,2665,51.6,59.7,91,61,0.022,659.0,31.8,3.9,12.3,1137
AP007,Q2,2022,2224,51.1,7.7,88,78,0.02,1406.5,72.6,3.9,10.6,1875
AP012,Q2,2020,2491,12.8,41.0,73,80,0.028,2035.3,31.6,1.6,40.7,1936
AP011,Q4,2023,2097,35.2,89.2,83,95,0.017,498.8,10.1,2.7,42.1,374
AP010,Q1,2020,1594,36.2,22.3,66,88,0.017,975.8,58.4,1.8,12.9,1623
AP010,Q1,2020,2149,10.9,75.4,70,80,0.046,1418.5,45.9,4.8,28.0,995
AP004,Q2,2022,4695,49.0,86.7,72,84,0.027,785.5,20.4,1.4,27.2,1113
AP003,Q3,2024,3540,8.3,23.5,52,86,0.035,1374.0,42.4,5.5,49.4,1230
AP007,Q4,2023,4498,14.9,84.4,72,61,0.02,984.3,2.3,2.7,38.5,1429
AP010,Q2,2022,1641,43.9,0.4,46,63,0.017,416.5,77.7,1.4,40.0,1278
AP012,Q1,2022,4768,20.8,70.0,79,60,0.039,510.9,75.3,2.1,47.7,1495
AP010,Q3,2022,3585,38.0,38.5,59,78,0.074,549.7,22.4,1.6,17.8,998
AP008,Q1,2022,941,6.8,23.6,75,66,0.044,1000.0,88.5,5.1,39.8,1885
AP003,Q2,2020,2657,24.5,4.3,55,52,0.031,2263.5,73.8,4.1,25.4,1436
AP005,Q4,2020,1102,27.4,96.1,70,77,0.016,1019.0,40.7,2.0,39.3,384
AP011,Q4,2022,4318,22.6,86.3,68,78,0.012,1038.7,57.0,4.4,14.3,679
AP010,Q4,2022,673,26.6,79.3,61,56,0.055,196.8,16.0,4.9,20.5,605
AP004,Q1,2022,4608,6.0,9.4,66,61,0.027,672.7,98.2,2.3,20.7,1386
AP010,Q2,2023,4560,37.4,68.2,74,84,0.01,863.7,35.8,5.3,19.5,1197
AP003,Q2,2024,4851,57.1,14.9,80,82,0.027,104.0,32.0,6.0,11.1,1073
AP001,Q4,2022,4642,27.8,98.0,59,66,0.027,651.6,87.9,5.3,11.6,1313
AP010,Q3,2020,3132,10.0,25.5,48,80,0.065,608.8,89.8,3.7,49.4,636
AP002,Q1,2022,3938,29.6,17.9,72,81,0.026,986.4,96.2,5.9,46.2,1982
AP007,Q4,2023,600,41.1,77.0,90,72,0.017,979.2,91.3,1.7,42.8,451
AP012,Q1,2023,4080,56.1,5.3,67,50,0.039,886.8,12.5,2.8,18.4,1449
AP002,Q2,2021,4018,3.0,65.8,45,82,0.015,848.4,55.4,5.8,27.8,1293
AP005,Q3,2020,2221,5.6,58.2,44,95,0.008,222.4,75.3,2.5,34.3,635
AP006,Q4,2020,3042,58.2,63.3,58,51,0.011,816.1,83.6,4.6,44.5,972
AP010,Q1,2021,2109,6.7,77.2,84,67,0.019,1557.8,87.6,4.0,45.9,999
AP002,Q3,2024,4380,9.9,3.5,84,84,0.033,753.2,62.3,1.3,38.3,1420
AP005,Q4,2024,4638,0.2,35.2,57,98,0.025,773.8,58.2,3.6,13.8,1937
AP009,Q2,2023,3009,3.7,34.4,93,63,0.045,252.2,10.9,5.4,45.0,1412
AP003,Q1,2020,4180,50.2,55.4,71,50,0.021,291.2,51.8,5.6,33.8,518
AP004,Q3,2021,3651,13.6,52.3,78,79,0.009,509.3,78.8,1.2,48.0,1465
AP009,Q1,2020,4184,14.6,41.9,87,86,0.016,2279.2,63.4,2.4,48.7,1683
AP005,Q4,2021,2623,51.4,8.8,86,81,0.008,626.8,15.9,3.1,44.5,1128
AP009,Q4,2021,3750,58.8,67.0,72,95,0.012,758.0,77.0,3.8,32.6,1630
AP002,Q3,2021,3893,18.1,40.3,73,72,0.022,449.8,79.4,5.3,14.7,1249
AP001,Q2,2020,4372,48.4,0.6,84,75,0.032,464.6,86.7,4.1,35.3,1646
AP001,Q1,2024,1761,29.6,85.1,80,68,0.025,170.9,99.7,4.1,11.1,396
AP003,Q1,2022,3533,47.8,11.5,79,88,0.016,648.8,20.6,3.4,38.3,1612
AP002,Q1,2024,4405,43.0,42.4,71,53,0.031,891.7,41.6,2.3,32.0,320
AP009,Q2,2022,1124,54.1,24.4,70,39,0.04,168.2,9.6,4.5,19.6,1516
AP005,Q4,2021,3112,0.8,85.5,57,83,0.022,294.6,50.1,5.0,27.3,1925
AP009,Q3,2020,2295,10.4,18.8,92,99,0.031,292.9,19.5,5.9,36.6,1599
AP008,Q1,2021,4693,53.4,58.7,86,74,0.028,483.5,10.7,3.5,45.2,1856
AP009,Q2,2023,1861,45.3,52.4,72,76,0.052,1217.4,39.8,5.1,41.8,870
AP007,Q3,2022,2295,48.1,82.8,68,62,0.159,500.2,60.1,3.3,34.5,876
AP003,Q4,2023,1136,50.1,24.1,92,71,0.026,666.0,49.6,4.2,16.1,754
AP012,Q1,2023,3587,18.6,92.4,97,54,0.011,556.8,86.0,1.3,49.2,1161
AP004,Q4,2024,4057,57.9,69.4,89,85,0.022,306.3,95.2,2.7,37.4,865
AP003,Q4,2021,3991,24.7,12.3,72,82,0.023,1509.6,12.2,5.8,45.0,1436
AP003,Q4,2020,1200,10.6,40.2,63,82,0.022,1608.4,6.3,5.2,10.8,421
AP008,Q4,2021,511,14.3,15.8,72,48,0.024,1171.2,38.0,2.2,28.3,701
AP006,Q1,2023,806,53.0,16.9,65,79,0.024,784.6,58.4,1.8,10.0,1850
AP004,Q4,2024,2175,56.0,26.0,93,64,0.034,540.7,26.0,4.5,38.9,1522
AP008,Q1,2023,1319,21.5,32.8,75,84,0.082,330.4,93.6,4.5,17.3,1839
AP012,Q1,2020,2300,52.2,98.5,83,67,0.021,498.2,61.4,2.0,12.1,1766
AP003,Q1,2020,1083,16.6,70.5,72,85,0.011,1772.5,93.1,3.6,49.0,899
AP002,Q3,2024,4436,53.5,96.7,77,62,0.016,1502.9,54.2,4.4,27.4,307
AP001,Q4,2024,1733,52.1,79.0,72,64,0.097,1696.7,7.3,5.9,39.5,304
AP001,Q2,2021,3168,57.8,76.6,95,92,0.022,1265.5,65.9,5.4,23.4,1660
AP003,Q3,2022,4650,18.3,33.1,74,71,0.027,3480.0,66.2,5.9,25.2,558
AP008,Q4,2022,3715,59.5,9.1,75,83,0.053,500.2,19.8,3.1,20.6,1881
AP003,Q1,2022,1869,19.3,13.1,63,69,0.031,1046.9,45.4,1.9,24.5,650
AP004,Q4,2022,1081,16.7,36.6,59,60,0.03,266.2,7.9,4.6,10.6,721
AP005,Q1,2024,2881,45.6,18.8,93,73,0.011,259.3,86.8,1.2,45.6,1744
AP012,Q1,2023,1586,41.0,51.3,88,70,0.024,152.4,98.6,1.4,24.8,398
AP004,Q1,2021,4299,31.6,34.6,63,56,0.05,477.3,1.0,2.8,22.6,613
AP007,Q2,2020,3654,59.0,84.9,89,62,0.04,861.0,27.4,3.1,49.4,602
AP001,Q1,2024,2556,35.1,22.3,67,84,0.025,860.5,7.8,2.7,44.4,711
AP007,Q2,2023,4231,41.1,44.4,64,85,0.019,913.5,91.2,5.1,20.3,414
AP005,Q3,2022,4245,31.1,79.7,85,90,0.027,637.9,8.9,3.1,29.5,1749
AP002,Q4,2020,4771,29.1,4.0,51,61,0.094,2462.2,67.1,2.2,46.5,581
AP012,Q1,2020,3513,45.2,63.7,94,67,0.043,619.7,60.2,1.9,11.3,902
AP012,Q1,2021,4007,42.8,88.2,42,72,0.057,1469.3,8.7,5.5,15.9,1099
AP005,Q4,2022,3327,46.0,30.5,62,85,0.021,1020.0,67.5,5.0,12.5,1452
AP005,Q3,2021,3139,19.8,66.7,75,62,0.04,328.0,30.7,1.0,13.5,1285
AP003,Q2,2020,2251,58.3,9.6,92,88,0.046,501.1,97.5,5.8,31.6,730
AP012,Q4,2022,2275,40.2,98.1,93,75,0.041,1142.1,82.8,2.8,25.7,1107
AP002,Q3,2021,3984,58.7,39.3,73,79,0.023,364.7,28.1,4.9,43.1,862
AP012,Q2,2022,3425,43.8,13.0,62,71,0.021,230.0,77.6,2.8,22.2,1725
AP007,Q1,2023,2324,57.5,5.6,72,81,0.041,122.2,95.2,2.0,32.5,375
AP002,Q4,2020,560,30.1,53.8,55,73,0.035,3163.6,28.7,1.3,10.6,1458
AP009,Q4,2024,2432,52.6,35.5,74,83,0.009,711.3,39.4,4.7,20.9,445
AP006,Q4,2023,4614,15.8,27.6,75,79,0.021,343.1,90.5,2.9,26.5,745
AP012,Q1,2021,4324,6.7,84.9,80,66,0.021,436.8,37.8,3.5,12.2,439
AP011,Q2,2024,4175,57.4,77.8,80,72,0.013,2430.0,10.0,3.3,26.2,1769
AP009,Q4,2021,2880,17.8,49.7,64,43,0.011,388.4,73.1,4.4,41.2,317
AP003,Q2,2020,1779,38.1,37.4,79,57,0.012,670.9,73.1,3.3,30.0,955
AP003,Q2,2024,2928,44.6,31.5,58,98,0.02,370.3,27.0,5.7,28.2,450
AP001,Q2,2021,4136,51.9,40.3,89,75,0.024,408.6,45.1,4.6,31.5,631
AP007,Q2,2022,3038,14.9,72.1,61,46,0.038,703.2,18.5,2.8,45.1,1882
AP005,Q2,2023,3055,5.4,91.7,70,80,0.016,676.0,46.6,3.6,12.3,735
AP011,Q2,2020,4725,39.4,71.4,55,55,0.08,886.5,79.4,4.1,48.3,590
AP002,Q4,2024,737,29.8,28.0,54,47,0.021,1571.7,61.4,1.4,37.2,1824
